,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
293,Wholesale,2,complete,manhattan,4,0.52,898.53,0.75,0.01
294,Wholesale,2,complete,cosine,33,0.26,445.03,1.39,0.01
295,Wholesale,2,complete,chebyshev,3,0.56,737.51,0.6,0.01
296,Wholesale,2,complete,minkowski,4,0.53,912.42,0.74,0.03
297,Wholesale,2,complete,mahalanobis,357,0.18,31570.1,0.13,0.1
298,Wholesale,2,single,euclidean,1,,,,0.0
299,Wholesale,2,single,manhattan,1,,,,0.0
300,Wholesale,2,single,cosine,2,0.46,325.95,0.84,0.01
301,Wholesale,2,single,chebyshev,1,,,,0.0
302,Wholesale,2,single,minkowski,1,,,,0.01
303,Wholesale,2,single,mahalanobis,333,0.18,5964.5,0.12,0.07
304,Wholesale,3,ward,euclidean,19,0.43,684.96,0.77,0.01
305,Wholesale,3,average,euclidean,2,0.38,154.91,0.72,0.01
306,Wholesale,3,average,manhattan,5,0.46,395.78,0.63,0.01
307,Wholesale,3,average,cosine,64,0.37,460.74,0.64,0.02
308,Wholesale,3,average,chebyshev,1,,,,0.01
309,Wholesale,3,average,minkowski,2,0.38,154.91,0.72,0.02
310,Wholesale,3,average,mahalanobis,416,0.07,36389.52,0.04,0.11
311,Wholesale,3,complete,euclidean,5,0.48,499.54,0.68,0.01
312,Wholesale,3,complete,manhattan,10,0.45,584.85,0.71,0.01
313,Wholesale,3,complete,cosine,83,0.34,502.51,0.79,0.02
314,Wholesale,3,complete,chebyshev,5,0.48,503.66,0.69,0.01
315,Wholesale,3,complete,minkowski,5,0.48,499.54,0.68,0.03
316,Wholesale,3,complete,mahalanobis,416,0.07,36389.52,0.04,0.12
317,Wholesale,3,single,euclidean,1,,,,0.0
318,Wholesale,3,single,manhattan,1,,,,0.0
319,Wholesale,3,single,cosine,13,-0.49,0.5,1.85,0.01
320,Wholesale,3,single,chebyshev,1,,,,0.01
321,Wholesale,3,single,minkowski,1,,,,0.01
322,Wholesale,3,single,mahalanobis,414,0.07,29933.74,0.04,0.08
323,Wholesale,4,ward,euclidean,21,0.44,552.23,0.73,0.01
324,Wholesale,4,average,euclidean,4,0.36,189.23,0.81,0.01
325,Wholesale,4,average,manhattan,9,0.43,397.79,0.76,0.01
326,Wholesale,4,average,cosine,91,0.39,334.83,0.57,0.02
327,Wholesale,4,average,chebyshev,1,,,,0.01
328,Wholesale,4,average,minkowski,4,0.36,189.23,0.81,0.02
329,Wholesale,4,average,mahalanobis,423,0.05,43547.4,0.02,0.1
330,Wholesale,4,complete,euclidean,7,0.46,390.08,0.66,0.01
331,Wholesale,4,complete,manhattan,18,0.44,506.79,0.76,0.01
332,Wholesale,4,complete,cosine,109,0.35,423.39,0.61,0.02
333,Wholesale,4,complete,chebyshev,5,0.44,289.74,0.86,0.01
334,Wholesale,4,complete,minkowski,7,0.46,390.08,0.66,0.03
335,Wholesale,4,complete,mahalanobis,423,0.05,43547.4,0.02,0.12
336,Wholesale,4,single,euclidean,1,,,,0.0
337,Wholesale,4,single,manhattan,1,,,,0.0
338,Wholesale,4,single,cosine,34,-0.21,20.12,1.31,0.01
339,Wholesale,4,single,chebyshev,1,,,,0.0
340,Wholesale,4,single,minkowski,1,,,,0.01
341,Wholesale,4,single,mahalanobis,423,0.05,43547.4,0.02,0.08
